pr_id	field	soulcap_value	status	pr_label	pr_synonyms	suggestions
pr:000001309	symbol	CD45	unmatched	CD70 molecule	CD27 ligand; CD27-L; CD27L; CD27LG; CD70; CD70 antigen; TNFSF7; tumor necrosis factor ligand superfamily member 7	PR:P08575 (receptor-type tyrosine-protein phosphatase C (human)) [q=CD45]; PR:000001006 (receptor-type tyrosine-protein phosphatase C) [q=CD45]; PR:Q64697 (protein tyrosine phosphatase receptor type C-associated protein (mouse)) [q=CD45]; PR:000013466 (protein tyrosine phosphatase receptor type C-associated protein) [q=CD45]; PR:Q14761 (protein tyrosine phosphatase receptor type C-associated protein (human)) [q=CD45]
pr:000001309	name	protein tyrosine phosphatase receptor type C	unmatched	CD70 molecule	CD27 ligand; CD27-L; CD27L; CD27LG; CD70; CD70 antigen; TNFSF7; tumor necrosis factor ligand superfamily member 7	PR:000001006 (receptor-type tyrosine-protein phosphatase C) [q=protein tyrosine phosphatase receptor type C]; PR:P04157 (receptor-type tyrosine-protein phosphatase C (rat)) [q=protein tyrosine phosphatase receptor type C]; PR:P06800 (receptor-type tyrosine-protein phosphatase C (mouse)) [q=protein tyrosine phosphatase receptor type C]; PR:P08575 (receptor-type tyrosine-protein phosphatase C (human)) [q=protein tyrosine phosphatase receptor type C]; PR:000013466 (protein tyrosine phosphatase receptor type C-associated protein) [q=protein tyrosine phosphatase receptor type C]
pr:000001020	symbol	CD19	unmatched	CD3 epsilon	CD3E; CD3e; T-cell surface antigen T3/Leu-4 epsilon chain; T3E	PR:000001002 (CD19 molecule) [q=CD19]; PR:P25918 (B-lymphocyte antigen CD19 (mouse)) [q=CD19]; PR:P15391 (B-lymphocyte antigen CD19 (human)) [q=CD19]; PR:000018300 (CD19 molecule, signal peptide removed form) [q=CD19]; gene_symbol_report?hgnc_id=1633 (CD19 (human)) [q=CD19]
pr:000001020	name	CD19 molecule	unmatched	CD3 epsilon	CD3E; CD3e; T-cell surface antigen T3/Leu-4 epsilon chain; T3E	PR:000001002 (CD19 molecule) [q=CD19 molecule]; PR:000018300 (CD19 molecule, signal peptide removed form) [q=CD19 molecule]; PR:P15391 (B-lymphocyte antigen CD19 (human)) [q=CD19 molecule]; PR:P25918 (B-lymphocyte antigen CD19 (mouse)) [q=CD19 molecule]; PR:000005158 (CD151 molecule) [q=CD19 molecule]
pr:000000927	symbol	CD3	unmatched	voltage-gated potassium channel subunit KCNQ5 isoform 2	KCNQ5/iso:2	PR:000001019 (CD3 delta) [q=CD3]; PR:000001020 (CD3 epsilon) [q=CD3]; PR:000001021 (CD3 gamma) [q=CD3]; PR:000001028 (T-cell surface glycoprotein CD3 isoform CD3 eta) [q=CD3]; PR:000001029 (T-cell surface glycoprotein CD3 isoform CD3 zeta) [q=CD3]
pr:000000927	name	CD3 epsilon	unmatched	voltage-gated potassium channel subunit KCNQ5 isoform 2	KCNQ5/iso:2	PR:000001020 (CD3 epsilon) [q=CD3 epsilon]; PR:000025775 (CD3 epsilon isoform 1) [q=CD3 epsilon]; PR:000018321 (CD3 epsilon, signal peptide removed form) [q=CD3 epsilon]; PR:P22646 (T-cell surface glycoprotein CD3 epsilon chain (mouse)) [q=CD3 epsilon]; PR:P07766 (T-cell surface glycoprotein CD3 epsilon chain (human)) [q=CD3 epsilon]
pr:000000932	symbol	CD4	unmatched	cyclic nucleotide-gated channel alpha-1 isoform 1 phosphorylated form	CNGA1/iso:1/PhosRes+	PR:000001004 (CD4 molecule) [q=CD4]; PR:P01730 (T-cell surface glycoprotein CD4 (human)) [q=CD4]; PR:P05540 (T-cell surface glycoprotein CD4 (rat)) [q=CD4]; PR:P06332 (T-cell surface glycoprotein CD4 (mouse)) [q=CD4]; PR:000003069 (CD4 molecule isoform 1) [q=CD4]
pr:000000932	name	CD4 molecule	unmatched	cyclic nucleotide-gated channel alpha-1 isoform 1 phosphorylated form	CNGA1/iso:1/PhosRes+	PR:000001004 (CD4 molecule) [q=CD4 molecule]; PR:000003069 (CD4 molecule isoform 1) [q=CD4 molecule]; PR:000003071 (CD4 molecule isoform 1 phosphorylated form) [q=CD4 molecule]; PR:000003072 (CD4 molecule isoform 1 phosphorylated 1) [q=CD4 molecule]; PR:000018304 (CD4 molecule, signal peptide removed form) [q=CD4 molecule]
pr:000000949	symbol	CD8	unmatched	voltage-gated potassium channel KCND3 isoform 2	KCND3/iso:2; KCND3S	PR:000025402 (T cell receptor co-receptor CD8) [q=CD8]; PR:000001084 (T-cell surface glycoprotein CD8 alpha chain) [q=CD8]; PR:000001085 (T-cell surface glycoprotein CD8 beta chain) [q=CD8]; PR:P01731 (T-cell surface glycoprotein CD8 alpha chain (mouse)) [q=CD8]; PR:P01732 (T-cell surface glycoprotein CD8 alpha chain (human)) [q=CD8]
pr:000000949	name	CD8 alpha	unmatched	voltage-gated potassium channel KCND3 isoform 2	KCND3/iso:2; KCND3S	PR:000001084 (T-cell surface glycoprotein CD8 alpha chain) [q=CD8 alpha]; PR:P01731 (T-cell surface glycoprotein CD8 alpha chain (mouse)) [q=CD8 alpha]; PR:P01732 (T-cell surface glycoprotein CD8 alpha chain (human)) [q=CD8 alpha]; PR:P07725 (T-cell surface glycoprotein CD8 alpha chain (rat)) [q=CD8 alpha]; PR:000025403 (T-cell surface glycoprotein CD8 alpha chain isoform 1) [q=CD8 alpha]
pr:000001380	symbol	CD56	unmatched	interleukin-2 receptor subunit alpha	CD25; IL-2 receptor subunit alpha; IL-2-RA; IL-2R subunit alpha; IL2-RA; IL2RA; Il2r; TAC antigen; p55	PR:000001024 (neural cell adhesion molecule 1) [q=CD56]; PR:P13591 (neural cell adhesion molecule 1 (human)) [q=CD56]; PR:P13595 (neural cell adhesion molecule 1 (mouse)) [q=CD56]; PR:P13596 (neural cell adhesion molecule 1 (rat)) [q=CD56]; PR:000000001 (protein) [q=CD56 protein]
pr:000001380	name	neural cell adhesion molecule 1	unmatched	interleukin-2 receptor subunit alpha	CD25; IL-2 receptor subunit alpha; IL-2-RA; IL-2R subunit alpha; IL2-RA; IL2RA; Il2r; TAC antigen; p55	PR:000001024 (neural cell adhesion molecule 1) [q=neural cell adhesion molecule 1]; PR:000001022 (neural cell adhesion molecule) [q=neural cell adhesion molecule 1]; PR:000011018 (neural cell adhesion molecule 2) [q=neural cell adhesion molecule 1]; PR:000002066 (neural cell adhesion molecule L1) [q=neural cell adhesion molecule 1]; PR:P13590 (neural cell adhesion molecule 1 (chicken)) [q=neural cell adhesion molecule 1]
pr:000001002	symbol	CD14	unmatched	CD19 molecule	B-lymphocyte surface antigen B4; CD19; T-cell surface antigen Leu-12; differentiation antigen CD19	PR:000001889 (CD14 molecule) [q=CD14]; PR:P10810 (monocyte differentiation antigen CD14 (mouse)) [q=CD14]; PR:Q63691 (monocyte differentiation antigen CD14 (rat)) [q=CD14]; PR:P08571 (monocyte differentiation antigen CD14 (human)) [q=CD14]; PR:B0BL87 (CD14 molecule (chicken)) [q=CD14]
pr:000001002	name	CD14 molecule	unmatched	CD19 molecule	B-lymphocyte surface antigen B4; CD19; T-cell surface antigen Leu-12; differentiation antigen CD19	PR:000001889 (CD14 molecule) [q=CD14 molecule]; PR:B0BL87 (CD14 molecule (chicken)) [q=CD14 molecule]; PR:000036848 (CD14 molecule cleaved 2) [q=CD14 molecule]; PR:000036946 (CD14 molecule cleaved 2 (mouse)) [q=CD14 molecule]; PR:000037480 (CD14 molecule cleaved 2 (human)) [q=CD14 molecule]
