pr_id	field	soulcap_value	status	pr_label	pr_synonyms	suggestions
pr:000001005	symbol	CD16	unmatched	integrin alpha with A domain	integrin alpha with I domain	PR:000001483 (low affinity immunoglobulin gamma Fc region receptor III) [q=CD16]; PR:P27645 (low affinity immunoglobulin gamma Fc region receptor III (rat)) [q=CD16]; PR:P08508 (low affinity immunoglobulin gamma Fc region receptor III (mouse)) [q=CD16]; PR:A0A0B4J1G0 (low affinity immunoglobulin gamma Fc region receptor III-A (mouse)) [q=CD16]; PR:Q6XPU4 (low affinity immunoglobulin gamma Fc region receptor III-A (rat)) [q=CD16]
pr:000001005	name	Fc gamma receptor IIIA	unmatched	integrin alpha with A domain	integrin alpha with I domain	PR:000001356 (immunoglobulin gamma Fc receptor I) [q=Fc gamma receptor IIIA]; PR:000001355 (immunoglobulin gamma Fc receptor II/III/IV) [q=Fc gamma receptor IIIA]; PR:000001465 (high affinity immunoglobulin gamma Fc receptor I) [q=Fc gamma receptor IIIA]; PR:000007432 (high affinity immunoglobulin epsilon receptor subunit gamma) [q=Fc gamma receptor IIIA]; PR:P12314 (high affinity immunoglobulin gamma Fc receptor I (human)) [q=Fc gamma receptor IIIA]
pr:000001851	symbol	CD27	unmatched	amino acid transporter heavy chain SLC3A2	4F2 cell-surface antigen heavy chain; 4F2 heavy chain antigen; 4F2hc; CD98; MDU1; SLC3A2; cell surface antigen 4F2 heavy chain; lymphocyte activation antigen 4F2 large subunit; solute carrier family 3 member 2	PR:000001963 (CD27 molecule) [q=CD27]; PR:P41272 (CD27 antigen (mouse)) [q=CD27]; PR:P26842 (CD27 antigen (human)) [q=CD27]; PR:000084904 (CD27 antigen methylated 2 (human)) [q=CD27]; PR:000079567 (CD27 antigen cysteinylated 1 (human)) [q=CD27]
pr:000001851	name	CD27 molecule	unmatched	amino acid transporter heavy chain SLC3A2	4F2 cell-surface antigen heavy chain; 4F2 heavy chain antigen; 4F2hc; CD98; MDU1; SLC3A2; cell surface antigen 4F2 heavy chain; lymphocyte activation antigen 4F2 large subunit; solute carrier family 3 member 2	PR:000001963 (CD27 molecule) [q=CD27 molecule]; PR:000001309 (CD70 molecule) [q=CD27 molecule]; PR:000018620 (CD27 molecule, signal peptide removed form) [q=CD27 molecule]; PR:P41272 (CD27 antigen (mouse)) [q=CD27 molecule]; PR:P26842 (CD27 antigen (human)) [q=CD27 molecule]
pr:000001823	symbol	CD25	unmatched	MHC class II transactivator	C2ta; CIITA; MHC2TA	PR:P25094 (peripheral myelin protein 22 (rat)) [q=CD25]; PR:000001380 (interleukin-2 receptor subunit alpha) [q=CD25]; PR:P26897 (interleukin-2 receptor subunit alpha (rat)) [q=CD25]; PR:P01590 (interleukin-2 receptor subunit alpha (mouse)) [q=CD25]; PR:P01589 (interleukin-2 receptor subunit alpha (human)) [q=CD25]
pr:000001823	name	interleukin 2 receptor subunit alpha	unmatched	MHC class II transactivator	C2ta; CIITA; MHC2TA	PR:000001380 (interleukin-2 receptor subunit alpha) [q=interleukin 2 receptor subunit alpha]; PR:000008996 (interleukin-20 receptor subunit alpha) [q=interleukin 2 receptor subunit alpha]; PR:P01589 (interleukin-2 receptor subunit alpha (human)) [q=interleukin 2 receptor subunit alpha]; PR:P01590 (interleukin-2 receptor subunit alpha (mouse)) [q=interleukin 2 receptor subunit alpha]; PR:P26897 (interleukin-2 receptor subunit alpha (rat)) [q=interleukin 2 receptor subunit alpha]
pr:000001127	symbol	CD127	unmatched	cell surface glycoprotein MUC18	CD146; MCAM; MUC18; S-endo 1 endothelial-associated antigen; cell surface glycoprotein P1H12; gicerin; melanoma cell adhesion molecule; melanoma-associated antigen A32; melanoma-associated antigen MUC18	PR:000001869 (interleukin-7 receptor subunit alpha) [q=CD127]; PR:P16872 (interleukin-7 receptor subunit alpha (mouse)) [q=CD127]; PR:P16871 (interleukin-7 receptor subunit alpha (human)) [q=CD127]; PR:000000001 (protein) [q=CD127 protein]; PR:000022910 (protein transport protein HofB) [q=CD127 protein]
pr:000001127	name	interleukin 7 receptor	unmatched	cell surface glycoprotein MUC18	CD146; MCAM; MUC18; S-endo 1 endothelial-associated antigen; cell surface glycoprotein P1H12; gicerin; melanoma cell adhesion molecule; melanoma-associated antigen A32; melanoma-associated antigen MUC18	PR:000001869 (interleukin-7 receptor subunit alpha) [q=interleukin 7 receptor]; PR:000001317 (interleukin-7) [q=interleukin 7 receptor]; PR:P16871 (interleukin-7 receptor subunit alpha (human)) [q=interleukin 7 receptor]; PR:P16872 (interleukin-7 receptor subunit alpha (mouse)) [q=interleukin 7 receptor]; PR:A1EA95 (interleukin-7 receptor alpha chain (chicken)) [q=interleukin 7 receptor]
pr:000001199	symbol	CD123	unmatched	C-C chemokine receptor type 2	C-C CKR-2; CC-CKR-2; CCR-2; CCR2; CD192; CMKBR2; JE/FIC receptor; MCP-1 receptor; MCP-1-R; chemokine receptor CCR2; monocyte chemoattractant protein 1 receptor	PR:000001865 (interleukin-3 receptor class 2 alpha chain) [q=CD123]; PR:P26951 (interleukin-3 receptor subunit alpha (human)) [q=CD123]; PR:P26952 (interleukin-3 receptor subunit alpha (mouse)) [q=CD123]; PR:000000001 (protein) [q=CD123 protein]; PR:000022910 (protein transport protein HofB) [q=CD123 protein]
pr:000001199	name	interleukin 3 receptor subunit alpha	unmatched	C-C chemokine receptor type 2	C-C CKR-2; CC-CKR-2; CCR-2; CCR2; CD192; CMKBR2; JE/FIC receptor; MCP-1 receptor; MCP-1-R; chemokine receptor CCR2; monocyte chemoattractant protein 1 receptor	PR:P26951 (interleukin-3 receptor subunit alpha (human)) [q=interleukin 3 receptor subunit alpha]; PR:P26952 (interleukin-3 receptor subunit alpha (mouse)) [q=interleukin 3 receptor subunit alpha]; PR:000008981 (interleukin-15 receptor subunit alpha) [q=interleukin 3 receptor subunit alpha]; PR:000008996 (interleukin-20 receptor subunit alpha) [q=interleukin 3 receptor subunit alpha]; PR:000009002 (interleukin-27 receptor subunit alpha) [q=interleukin 3 receptor subunit alpha]
pr:000001308	symbol	CD197	unmatched	CD48 molecule	B-lymphocyte activation marker BLAST-1; BCM1; BCM1 surface antigen; BLAST-1; BLAST1; Bcm-1; CD48; CD48 antigen; HM48-1; MRC OX-45 surface antigen; SLAM family member 2; SLAMF2; TCT.1; leukocyte antigen MEM-102; sgp-60; signaling lymphocytic activation molecule 2	PR:000001203 (C-C chemokine receptor type 7) [q=CD197]; PR:P47774 (C-C chemokine receptor type 7 (mouse)) [q=CD197]; PR:P32248 (C-C chemokine receptor type 7 (human)) [q=CD197]; PR:000000001 (protein) [q=CD197 protein]; PR:000022910 (protein transport protein HofB) [q=CD197 protein]
pr:000001308	name	C-C motif chemokine receptor 7	unmatched	CD48 molecule	B-lymphocyte activation marker BLAST-1; BCM1; BCM1 surface antigen; BLAST-1; BLAST1; Bcm-1; CD48; CD48 antigen; HM48-1; MRC OX-45 surface antigen; SLAM family member 2; SLAMF2; TCT.1; leukocyte antigen MEM-102; sgp-60; signaling lymphocytic activation molecule 2	PR:000002125 (C-C motif chemokine 7) [q=C-C motif chemokine receptor 7]; PR:Q03366 (C-C motif chemokine 7 (mouse)) [q=C-C motif chemokine receptor 7]; PR:P80098 (C-C motif chemokine 7 (human)) [q=C-C motif chemokine receptor 7]; PR:Q9QXY8 (C-C motif chemokine 7 (rat)) [q=C-C motif chemokine receptor 7]; PR:000040259 (C-C motif chemokine 7 isoform 1) [q=C-C motif chemokine receptor 7]
pr:000001336	symbol	CD45RA	unmatched	CD55-like protein	complement decay-accelerating factor like protein	PR:000001015 (receptor-type tyrosine-protein phosphatase C isoform CD45RA) [q=CD45RA]; PR:P08575-8 (receptor-type tyrosine-protein phosphatase C isoform CD45RA (human)) [q=CD45RA]; PR:000025806 (receptor-type tyrosine-protein phosphatase C isoform CD45RA, signal peptide removed form) [q=CD45RA]; PR:000025814 (receptor-type tyrosine-protein phosphatase C isoform CD45RA, signal peptide removed glycosylated form) [q=CD45RA]; PR:000000001 (protein) [q=CD45RA protein]
pr:000001336	name	protein tyrosine phosphatase receptor type C isoform	unmatched	CD55-like protein	complement decay-accelerating factor like protein	PR:000001006 (receptor-type tyrosine-protein phosphatase C) [q=protein tyrosine phosphatase receptor type C isoform]; PR:H2KZM6-3 (receptor-type tyrosine-protein phosphatase isoform c (worm)) [q=protein tyrosine phosphatase receptor type C isoform]; PR:000050216 (receptor-type tyrosine-protein phosphatase C isoform CD45R) [q=protein tyrosine phosphatase receptor type C isoform]; PR:000001014 (receptor-type tyrosine-protein phosphatase C isoform CD45RABC) [q=protein tyrosine phosphatase receptor type C isoform]; PR:000001015 (receptor-type tyrosine-protein phosphatase C isoform CD45RA) [q=protein tyrosine phosphatase receptor type C isoform]
pr:000001074	symbol	CD193	unmatched	transient receptor potential cation channel TRPC with PDZ-binding motif		PR:000001255 (C-C chemokine receptor type 3) [q=CD193]; PR:O54814 (C-C chemokine receptor type 3 (rat)) [q=CD193]; PR:P51677 (C-C chemokine receptor type 3 (human)) [q=CD193]; PR:P51678 (probable C-C chemokine receptor type 3 (mouse)) [q=CD193]; PR:000000001 (protein) [q=CD193 protein]
pr:000001074	name	C-C motif chemokine receptor 3	unmatched	transient receptor potential cation channel TRPC with PDZ-binding motif		PR:000002123 (C-C motif chemokine 3) [q=C-C motif chemokine receptor 3]; PR:P50229 (C-C motif chemokine 3 (rat)) [q=C-C motif chemokine receptor 3]; PR:P10855 (C-C motif chemokine 3 (mouse)) [q=C-C motif chemokine receptor 3]; PR:P10147 (C-C motif chemokine 3 (human)) [q=C-C motif chemokine receptor 3]; PR:000006070 (C-X-C motif chemokine 3) [q=C-C motif chemokine receptor 3]
pr:000001046	symbol	CD183	unmatched	cftr isoform 2	CFTR/iso:2	PR:000001207 (C-X-C chemokine receptor type 3) [q=CD183]; PR:Q9JII9 (C-X-C chemokine receptor type 3 (rat)) [q=CD183]; PR:O88410 (C-X-C chemokine receptor type 3 (mouse)) [q=CD183]; PR:Q5KSK8 (C-X-C chemokine receptor type 3 (dog)) [q=CD183]; PR:P49682 (C-X-C chemokine receptor type 3 (human)) [q=CD183]
pr:000001046	name	C-X-C motif chemokine receptor 3	unmatched	cftr isoform 2	CFTR/iso:2	PR:000006070 (C-X-C motif chemokine 3) [q=C-X-C motif chemokine receptor 3]; PR:000006064 (C-X-C motif chemokine 10) [q=C-X-C motif chemokine receptor 3]; PR:000006065 (C-X-C motif chemokine 11) [q=C-X-C motif chemokine receptor 3]; PR:000006067 (C-X-C motif chemokine 13) [q=C-X-C motif chemokine receptor 3]; PR:000006068 (C-X-C motif chemokine 14) [q=C-X-C motif chemokine receptor 3]
pr:000001057	symbol	CD194	unmatched	WW domain-containing oxidoreductase isoform 6	WWOX/iso:6; WWOXdelta5-8	PR:000001200 (C-C chemokine receptor type 4) [q=CD194]; PR:P51680 (C-C chemokine receptor type 4 (mouse)) [q=CD194]; PR:P51679 (C-C chemokine receptor type 4 (human)) [q=CD194]; PR:000000001 (protein) [q=CD194 protein]; PR:000022910 (protein transport protein HofB) [q=CD194 protein]
pr:000001057	name	C-C motif chemokine receptor 4	unmatched	WW domain-containing oxidoreductase isoform 6	WWOX/iso:6; WWOXdelta5-8	PR:000002124 (C-C motif chemokine 4) [q=C-C motif chemokine receptor 4]; PR:P50230 (C-C motif chemokine 4 (rat)) [q=C-C motif chemokine receptor 4]; PR:P13236 (C-C motif chemokine 4 (human)) [q=C-C motif chemokine receptor 4]; PR:P14097 (C-C motif chemokine 4 (mouse)) [q=C-C motif chemokine receptor 4]; PR:000005112 (C-C motif chemokine 4-like) [q=C-C motif chemokine receptor 4]
pr:000001432	symbol	CD161	unmatched	P-selectin	CD62 antigen-like family member P; CD62P; GMP-140; GMRP; GRMP; LECAM3; PADGEM; SELP; granule membrane protein 140; leukocyte-endothelial cell adhesion molecule 3; platelet activation dependent granule-external membrane protein	PR:000025670 (killer cell lectin-like receptor subfamily B member 1) [q=CD161]; PR:000009626 (killer cell lectin-like receptor subfamily B member 1F) [q=CD161]; PR:Q8VD98 (killer cell lectin-like receptor subfamily B member 1F (mouse)) [q=CD161]; PR:Q12918 (killer cell lectin-like receptor subfamily B member 1 (human)) [q=CD161]; PR:P27471 (killer cell lectin-like receptor subfamily B member 1A (rat)) [q=CD161]
pr:000001432	name	killer cell lectin like receptor B1	unmatched	P-selectin	CD62 antigen-like family member P; CD62P; GMP-140; GMRP; GRMP; LECAM3; PADGEM; SELP; granule membrane protein 140; leukocyte-endothelial cell adhesion molecule 3; platelet activation dependent granule-external membrane protein	PR:000009617 (killer cell lectin-like receptor 2) [q=killer cell lectin like receptor B1]; PR:000009618 (killer cell lectin-like receptor 3) [q=killer cell lectin like receptor B1]; PR:000009619 (killer cell lectin-like receptor 4) [q=killer cell lectin like receptor B1]; PR:000009620 (killer cell lectin-like receptor 5) [q=killer cell lectin like receptor B1]; PR:000009621 (killer cell lectin-like receptor 6) [q=killer cell lectin like receptor B1]
pr:000000999	symbol	CD11c	unmatched	voltage-gated inwardly rectifying potassium channel KCNH2 isoform A phosphorylated 1	KCNH2/iso:1/Phos:1; KCNH2/iso:A/Phos:1; voltage-gated inwardly rectifying potassium channel KCNH2 isoform 1 phosphorylated 1	PR:000001013 (integrin alpha-X) [q=CD11c]; PR:P20702 (integrin alpha-X (human)) [q=CD11c]; PR:Q9QXH4 (integrin alpha-X (mouse)) [q=CD11c]; PR:000000001 (protein) [q=CD11C protein]; PR:000022910 (protein transport protein HofB) [q=CD11C protein]
pr:000000999	name	integrin subunit alpha X	unmatched	voltage-gated inwardly rectifying potassium channel KCNH2 isoform A phosphorylated 1	KCNH2/iso:1/Phos:1; KCNH2/iso:A/Phos:1; voltage-gated inwardly rectifying potassium channel KCNH2 isoform 1 phosphorylated 1	PR:000001013 (integrin alpha-X) [q=integrin subunit alpha X]; PR:Q9QXH4 (integrin alpha-X (mouse)) [q=integrin subunit alpha X]; PR:P20702 (integrin alpha-X (human)) [q=integrin subunit alpha X]; PR:000009129 (integrin alpha-4) [q=integrin subunit alpha X]; PR:000009135 (integrin alpha-V) [q=integrin subunit alpha X]
pr:000002015	symbol	HLA-DR	unmatched	MHC class II histocompatibility antigen alpha chain DRA	H2-Ea; H2-IE-alpha; HLA-DRA; HLA-DRA1; MHC class II antigen DRA; MHCcIIalpha_DRA	PR:P01903 (HLA class II histocompatibility antigen, DR alpha chain (human)) [q=HLA-DR]; PR:000002022 (MHC class II histocompatibility antigen beta chain DRB5) [q=HLA-DR]; PR:P79483 (HLA class II histocompatibility antigen, DR beta 3 chain (human)) [q=HLA-DR]; PR:Q30154 (HLA class II histocompatibility antigen, DR beta 5 chain (human)) [q=HLA-DR]; PR:P13762 (HLA class II histocompatibility antigen, DR beta 4 chain (human)) [q=HLA-DR]
pr:000002015	name	major histocompatibility complex class II DR	unmatched	MHC class II histocompatibility antigen alpha chain DRA	H2-Ea; H2-IE-alpha; HLA-DRA; HLA-DRA1; MHC class II antigen DRA; MHCcIIalpha_DRA	PR:P01903 (HLA class II histocompatibility antigen, DR alpha chain (human)) [q=major histocompatibility complex class II DR]; PR:000002022 (MHC class II histocompatibility antigen beta chain DRB5) [q=major histocompatibility complex class II DR]; PR:000001822 (MHC class II histocompatibility antigen gamma chain) [q=major histocompatibility complex class II DR]; PR:P04233 (HLA class II histocompatibility antigen gamma chain (human)) [q=major histocompatibility complex class II DR]; PR:P79483 (HLA class II histocompatibility antigen, DR beta 3 chain (human)) [q=major histocompatibility complex class II DR]
pr:000001014	symbol	CD117	unmatched	receptor-type tyrosine-protein phosphatase C isoform CD45RABC	B220; CD45R; CD45RABC; PTPRC/iso:CD45RABC	PR:000002065 (mast/stem cell growth factor receptor) [q=CD117]; PR:P05532 (mast/stem cell growth factor receptor Kit (mouse)) [q=CD117]; PR:P10721 (mast/stem cell growth factor receptor Kit (human)) [q=CD117]; PR:000000001 (protein) [q=CD117 protein]; PR:000022910 (protein transport protein HofB) [q=CD117 protein]
pr:000001014	name	KIT proto-oncogene receptor tyrosine kinase	unmatched	receptor-type tyrosine-protein phosphatase C isoform CD45RABC	B220; CD45R; CD45RABC; PTPRC/iso:CD45RABC	PR:000013895 (proto-oncogene tyrosine-protein kinase receptor Ret) [q=KIT proto-oncogene receptor tyrosine kinase]; PR:G3V9H8 (proto-oncogene tyrosine-protein kinase receptor Ret (rat)) [q=KIT proto-oncogene receptor tyrosine kinase]; PR:P35546 (proto-oncogene tyrosine-protein kinase receptor Ret (mouse)) [q=KIT proto-oncogene receptor tyrosine kinase]; PR:P07949 (proto-oncogene tyrosine-protein kinase receptor Ret (human)) [q=KIT proto-oncogene receptor tyrosine kinase]; PR:000014165 (proto-oncogene tyrosine-protein kinase ROS) [q=KIT proto-oncogene receptor tyrosine kinase]
pr:000001848	symbol	CD294	unmatched	butyrophilin	fam:BTN	PR:000001547 (prostaglandin D2 receptor DP2) [q=CD294]; PR:Q9Z2J6 (prostaglandin D2 receptor 2 (mouse)) [q=CD294]; PR:Q9Y5Y4 (prostaglandin D2 receptor 2 (human)) [q=CD294]; PR:000000001 (protein) [q=CD294 protein]; PR:000022910 (protein transport protein HofB) [q=CD294 protein]
pr:000001848	name	prostaglandin D2 receptor 2	unmatched	butyrophilin	fam:BTN	PR:000001656 (prostaglandin D2 receptor) [q=prostaglandin D2 receptor 2]; PR:Q6XKD3 (prostaglandin D2 receptor 2 (rat)) [q=prostaglandin D2 receptor 2]; PR:Q9Y5Y4 (prostaglandin D2 receptor 2 (human)) [q=prostaglandin D2 receptor 2]; PR:Q9Z2J6 (prostaglandin D2 receptor 2 (mouse)) [q=prostaglandin D2 receptor 2]; PR:O35932 (prostaglandin D2 receptor (rat)) [q=prostaglandin D2 receptor 2]
pr:000000942	symbol	CD34	unmatched	voltage-gated potassium channel KCNC2 isoform 2	KCNC2/iso:2; Kv3.2d	PR:000001003 (CD34 molecule) [q=CD34]; PR:P28906 (hematopoietic progenitor cell antigen CD34 (human)) [q=CD34]; PR:Q64314 (hematopoietic progenitor cell antigen CD34 (mouse)) [q=CD34]; PR:000018302 (CD34 molecule, signal peptide removed form) [q=CD34]; gene_symbol_report?hgnc_id=1662 (CD34 (human)) [q=CD34]
pr:000000942	name	CD34 molecule	unmatched	voltage-gated potassium channel KCNC2 isoform 2	KCNC2/iso:2; Kv3.2d	PR:000001003 (CD34 molecule) [q=CD34 molecule]; PR:000018302 (CD34 molecule, signal peptide removed form) [q=CD34 molecule]; PR:Q64314 (hematopoietic progenitor cell antigen CD34 (mouse)) [q=CD34 molecule]; PR:P28906 (hematopoietic progenitor cell antigen CD34 (human)) [q=CD34 molecule]; PR:000005158 (CD151 molecule) [q=CD34 molecule]
pr:000001937	symbol	CD38	unmatched	tartrate-resistant acid phosphatase type 5	ACP5; T5ap; TR-AP; TrATPase; Trap; tartrate-resistant acid ATPase; type 5 acid phosphatase	main.html?id=2303 (Cd38 (rat)) [q=CD38]; MGI:107474 (Cd38 (mouse)) [q=CD38]; gene_symbol_report?hgnc_id=1667 (CD38 (human)) [q=CD38]; PR:Q64244 (ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (rat)) [q=CD38]; PR:P56528 (ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (mouse)) [q=CD38]
pr:000001937	name	CD38 molecule	unmatched	tartrate-resistant acid phosphatase type 5	ACP5; T5ap; TR-AP; TrATPase; Trap; tartrate-resistant acid ATPase; type 5 acid phosphatase	PR:000005158 (CD151 molecule) [q=CD38 molecule]; PR:000005170 (CD37 molecule) [q=CD38 molecule]; PR:000005172 (CD53 molecule) [q=CD38 molecule]; PR:000005175 (CD63 molecule) [q=CD38 molecule]; PR:000005176 (CD81 molecule) [q=CD38 molecule]
pr:000002238	symbol	IgD	unmatched	tyrosine-protein kinase ITK/TSK isoform 1	ITK/iso:1	PR:000050170 (IgD immunoglobulin complex (human)) [q=IgD]; PR:000050186 (IgD heavy chain protein) [q=IgD]; PR:000050171 (IgD immunoglobulin complex, circulating (human)) [q=IgD]; PR:000050187 (IgD heavy chain protein (human)) [q=IgD]; PR:000050172 (IgD B cell receptor complex (human)) [q=IgD]
